Project ID,Transaction ID,2010 Census Tract,"Metro/Non-Metro, 2010 Census",Origination Year,Community Development Entity (CDE) Name,QLICI Amount,City,Standard_City,State,Standard_State,Zip Code,Purpose of Investment,QALICB Type,Multi-CDE,Multi-Tract QLICI
CA0486,1413,6111004305,Metropolitan,2013,Clearinghouse Community Development Financial Institution,"$834,815.00 ",Port Hueneme,Port Hueneme,CA,California,93041,Real Estate–Rehabilitation–Commercial,SPE,YES,NO
CA0486,1414,6111004305,Metropolitan,2013,Clearinghouse Community Development Financial Institution,"$365,185.00 ",Port Hueneme,Port Hueneme,CA,California,93041,Real Estate–Rehabilitation–Commercial,SPE,YES,NO
CA0486,1415,6111004305,Metropolitan,2013,Clearinghouse Community Development Financial Institution,"$2,863,414.00 ",Port Hueneme,Port Hueneme,CA,California,93041,Real Estate–Rehabilitation–Commercial,SPE,YES,NO
CA0486,1416,6111004305,Metropolitan,2013,Clearinghouse Community Development Financial Institution,"$1,336,586.00 ",Port Hueneme,Port Hueneme,CA,California,93041,Real Estate–Rehabilitation–Commercial,SPE,YES,NO
CA0486,1417,6111004305,Metropolitan,2013,Clearinghouse Community Development Financial Institution,"$340,883.00 ",Port Hueneme,Port Hueneme,CA,California,93041,Real Estate–Rehabilitation–Commercial,SPE,YES,NO
CA0486,1418,6111004305,Metropolitan,2013,Clearinghouse Community Development Financial Institution,"$159,117.00 ",Port Hueneme,Port Hueneme,CA,California,93041,Real Estate–Rehabilitation–Commercial,SPE,YES,NO
CA0487,1419,6059075003,Metropolitan,2013,"L.A. Charter School New Markets CDE, LLC","$3,300,000.00 ",SANTA ANA,Santa Ana,CA,California,92701,Business Financing,SPE,NO,NO
CA0487,1420,6059075003,Metropolitan,2013,"L.A. Charter School New Markets CDE, LLC","$2,000,000.00 ",SANTA ANA,Santa Ana,CA,California,92701,Business Financing,SPE,NO,NO
CA0487,1421,6059075003,Metropolitan,2013,"L.A. Charter School New Markets CDE, LLC","$1,950,239.00 ",SANTA ANA,Santa Ana,CA,California,92701,Business Financing,SPE,NO,NO
CA0488,1422,6075017601,Metropolitan,2014,San Francisco Community Investment Fund,"$9,010,618.00 ",San Francisco,San Francisco,CA,California,94103,Real Estate–Rehabilitation–Commercial,NRE,YES,NO
CA0488,1423,6075017601,Metropolitan,2014,San Francisco Community Investment Fund,"$5,614,382.00 ",San Francisco,San Francisco,CA,California,94103,Real Estate–Rehabilitation–Commercial,NRE,YES,NO
CA0488,1424,6075017601,Metropolitan,2013,Northern California Community Loan Fund,"$3,604,247.00 ",San Francisco,San Francisco,CA,California,94103,Real Estate–Rehabilitation–Commercial,NRE,YES,NO
CA0488,1425,6075017601,Metropolitan,2013,Northern California Community Loan Fund,"$2,215,753.00 ",San Francisco,San Francisco,CA,California,94103,Real Estate–Rehabilitation–Commercial,NRE,YES,NO
CA0488,1426,6075017601,Metropolitan,2013,Clearinghouse Community Development Financial Institution,"$8,770,334.00 ",San Francisco,San Francisco,CA,California,94103,Real Estate–Rehabilitation–Commercial,NRE,YES,NO
CA0488,1427,6075017601,Metropolitan,2013,Clearinghouse Community Development Financial Institution,"$5,537,666.00 ",San Francisco,San Francisco,CA,California,94103,Real Estate–Rehabilitation–Commercial,NRE,YES,NO
CA0489,1428,6001433900,Metropolitan,2014,"Raza Development Fund, Inc.","$4,300,400.00 ",San Leandro,San Leandro,CA,California,94578,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
CA0489,1429,6001433900,Metropolitan,2014,"Raza Development Fund, Inc.","$1,302,000.00 ",San Leandro,San Leandro,CA,California,94578,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
CA0489,1430,6001433900,Metropolitan,2014,"Raza Development Fund, Inc.","$2,157,600.00 ",San Leandro,San Leandro,CA,California,94578,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
CA0489,1431,6001433900,Metropolitan,2013,Chase New Markets Corporation,"$1,075,100.00 ",San Leandro,San Leandro,CA,California,94578,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
CA0489,1432,6001433900,Metropolitan,2013,Chase New Markets Corporation,"$325,500.00 ",San Leandro,San Leandro,CA,California,94578,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
CA0489,1433,6001433900,Metropolitan,2013,Chase New Markets Corporation,"$599,400.00 ",San Leandro,San Leandro,CA,California,94578,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
CA0490,1434,6019000600,Metropolitan,2013,"Central Valley NMTC Fund, LLC","$5,545,660.00 ",Fresno,Fresno,CA,California,93721,Real Estate–Rehabilitation–Commercial,NRE,YES,NO
CA0490,1435,6019000600,Metropolitan,2013,"Central Valley NMTC Fund, LLC","$2,408,340.00 ",Fresno,Fresno,CA,California,93721,Real Estate–Rehabilitation–Commercial,NRE,YES,NO
CA0490,1436,6019000600,Metropolitan,2014,Low Income Investment Fund,"$5,410,400.00 ",Fresno,Fresno,CA,California,93721,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
CA0490,1437,6019000600,Metropolitan,2014,Low Income Investment Fund,"$2,349,600.00 ",Fresno,Fresno,CA,California,93721,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
CA0491,1438,6037531101,Metropolitan,2014,CALIFORNIA STATEWIDE COMMUNITIES DEVELOPMENT CORPORATION,"$2,024,067.00 ",Los Angeles,Los Angeles,CA,California,90063,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
CA0491,1439,6037531101,Metropolitan,2014,CALIFORNIA STATEWIDE COMMUNITIES DEVELOPMENT CORPORATION,"$2,010,527.00 ",Los Angeles,Los Angeles,CA,California,90063,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
CA0491,1440,6037531101,Metropolitan,2014,CALIFORNIA STATEWIDE COMMUNITIES DEVELOPMENT CORPORATION,"$1,485,406.00 ",Los Angeles,Los Angeles,CA,California,90063,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
